id,f1,f2,f3,f4,f5,f6,f7,f8,f9
5170,1507,1685,56,33,324,249,893,50,248
5171,4424,1904,56,5,413,321,992,56,322
5172,6372,537,56,5,167,194,2164,66,198
5173,4692,1270,56,33,202,0,1189,50,0
5174,5206,2084,71,103,376,164,1307,26,166
5175,1533,3471,56,142,15,258,469,9,258
5176,4960,3768,56,158,348,162,893,50,165
5177,6773,2269,56,16,164,325,2252,21,324
5178,6400,1818,13,60,240,154,881,0,158
5179,3440,1836,121,96,268,298,1891,9,300
5180,699,3481,56,5,337,315,2158,56,315
5181,2454,3655,56,5,448,0,271,50,0
5182,1153,309,18,24,280,206,1585,35,207
5183,7188,1036,56,33,96,249,893,50,248
5184,6384,3751,56,99,20,192,2068,9,196
5185,4913,4022,75,102,241,37,207,24,49
5186,123,3483,56,158,4,276,2087,27,276
5187,2482,4129,56,33,226,164,1307,26,166
5188,6133,1450,56,43,327,317,1529,50,171
5189,6570,1264,56,158,407,341,274,21,341
5190,4890,1578,27,35,216,154,879,0,158
5191,7371,2598,56,142,316,91,726,4,93
5192,1809,1276,56,16,37,249,893,50,248
5193,4324,481,56,16,382,341,274,21,341
5194,562,372,56,70,335,249,1193,50,248
5195,830,3019,56,57,326,249,1428,50,248
5196,3057,1848,50,59,216,160,889,0,163
5197,1076,4169,27,35,216,154,879,0,158
5198,3749,109,56,70,31,162,893,50,165
5199,2761,1708,56,142,376,249,893,50,248
5200,6353,2756,3,2,27,17,1198,65,20
5201,2792,2454,7,61,47,334,2279,4,334
5202,2259,1282,97,133,416,15,44,2,18
5203,4931,1486,125,29,341,194,2002,66,198
5204,1441,3773,100,137,294,169,1721,24,172
5205,248,385,56,43,228,252,1021,50,252
5206,7456,3599,112,152,359,20,1780,4,24
5207,6674,1812,94,128,216,232,1058,49,261
5208,6416,400,40,47,233,40,108,57,230
5209,201,3918,56,5,93,315,1784,56,315
5210,109,2981,56,142,157,91,726,4,93
5211,4353,1001,56,70,99,121,11,20,127
5212,6692,2602,56,158,303,290,2164,48,69
5213,3608,2348,56,43,187,162,893,50,165
5214,5725,3761,115,155,240,154,881,0,158
5215,2332,1951,9,11,296,0,8,50,0
5216,4002,3880,56,142,297,240,1095,66,178
5217,6822,441,9,65,96,0,1221,50,0
5218,5846,4042,56,43,388,67,2203,58,295
5219,5105,254,56,5,338,341,303,21,341
5220,6462,214,56,142,157,91,726,4,93
5221,6806,577,56,43,228,249,893,50,248
5222,3876,1708,56,142,376,249,893,50,248
5223,3645,4033,56,72,119,107,743,30,110
5224,557,1091,56,16,308,105,1328,40,108
5225,6042,4181,56,57,238,247,1307,26,246
5226,6329,1220,54,117,341,57,389,3,60
5227,2515,3669,31,91,440,164,1307,26,166
5228,223,2516,56,142,10,8,1732,4,9
5229,2882,1950,124,68,222,299,886,0,112
5230,5113,1068,56,142,376,325,1615,21,324
5231,562,1697,56,16,36,162,893,50,165
5232,1355,1085,0,27,268,192,766,9,196
5233,2853,186,56,5,359,241,1033,8,240
5234,2493,2989,56,33,188,164,1523,26,166
5235,7456,2605,7,61,252,179,1202,45,182
5236,924,1064,37,44,448,276,2200,27,276
5237,6090,1271,56,70,99,207,2285,28,181
5238,2543,3091,69,92,394,298,1256,9,300
5239,1173,2532,124,68,222,299,459,0,112
5240,953,2971,56,142,157,315,1681,56,315
5241,2837,2828,56,57,358,249,893,50,248
5242,922,2022,123,170,241,37,638,24,49
5243,1111,2882,40,112,348,249,893,50,248
5244,3652,1857,56,5,120,162,893,50,165
5245,1120,696,26,32,424,162,919,50,165
5246,5617,1108,125,29,341,57,389,3,60
5247,7077,4196,56,43,362,249,893,50,248
5248,6191,497,56,5,9,290,2149,48,69
5249,6870,4077,56,16,369,258,1464,9,258
5250,4960,2883,56,99,56,249,893,50,248
5251,204,214,56,142,157,91,726,4,93
5252,7471,132,100,137,357,315,1607,56,315
5253,1541,1129,56,70,165,329,1341,18,328
5254,6031,1024,56,43,228,249,1193,50,248
5255,6534,3404,83,113,259,299,644,0,112
5256,3044,3867,124,68,154,341,963,21,341
5257,6585,423,100,137,197,151,210,24,29
5258,4598,2257,56,5,166,113,566,25,119
5259,5767,1179,117,156,418,335,286,20,335
5260,5300,2791,74,101,321,175,146,4,188
5261,7370,4189,56,5,383,249,2230,50,248
5262,6048,461,56,99,67,266,2162,65,265
5263,4040,869,91,165,222,154,798,0,158
5264,1120,2117,56,5,50,249,893,50,248
5265,2288,3951,57,71,56,162,893,50,165
5266,5719,2592,123,170,241,36,1515,24,40
5267,224,485,56,142,157,242,2273,4,241
5268,1977,2166,3,2,380,155,251,48,159
5269,4697,1256,56,43,409,329,1227,18,328
5270,2126,1442,16,21,431,326,394,19,325
5271,6076,3000,56,33,400,231,652,50,231
5272,4325,2909,37,44,284,162,893,50,165
5273,3576,1319,56,33,211,223,438,4,187
5274,3986,172,61,78,216,299,1586,0,112
5275,7456,476,112,53,203,260,344,66,285
5276,7192,1766,75,102,241,169,1434,24,172
5277,3233,1041,56,16,270,249,893,50,248
5278,6534,2618,56,142,51,5,980,4,6
5279,557,279,56,16,313,317,1450,50,171
5280,250,2308,56,16,329,249,893,50,248
5281,670,2989,56,33,188,0,1982,50,0
5282,593,435,56,43,212,207,2285,28,181
5283,6065,524,56,33,440,30,1181,26,35
5284,5767,1156,60,107,153,149,1752,3,154
5285,2837,1657,56,5,330,194,1095,66,198
5286,614,84,56,43,155,162,271,50,165
5287,2944,164,56,5,376,341,274,21,341
5288,891,112,56,33,440,249,893,50,248
5289,3927,1803,56,99,20,290,114,48,69
5290,4040,1200,117,156,418,341,2110,21,341
5291,1120,71,31,91,77,221,682,26,221
5292,2135,1559,56,142,207,162,893,50,165
5293,4214,2922,56,5,120,249,893,50,248
5294,1945,3955,56,5,346,17,566,65,20
5295,6388,1771,56,57,414,341,274,21,341
5296,2837,1708,56,142,376,162,893,50,165
5297,609,3772,56,142,157,329,78,18,328
5298,4594,2895,31,91,296,249,893,50,248
5299,256,1193,56,16,156,316,919,20,316
5300,3685,1261,61,78,216,266,195,65,265
5301,296,717,37,44,373,25,1818,65,30
5302,2051,1388,100,137,241,169,790,24,172
5303,430,1500,22,30,346,173,2090,4,176
5304,1676,3483,56,158,4,162,893,50,165
5305,1612,3503,56,72,119,282,1476,30,284
5306,5305,727,71,103,44,162,893,50,165
5307,3326,834,107,146,240,154,881,0,158
5308,2454,317,47,56,216,154,798,0,158
5309,1761,723,56,57,376,249,1214,50,248
5310,5662,1293,40,130,219,156,895,66,113
5311,3773,1557,80,110,330,242,1039,4,241
5312,5295,3371,56,99,56,0,565,50,0
5313,5035,1413,56,16,345,249,893,50,248
5314,2564,662,67,85,219,160,798,0,163
5315,6191,1202,56,5,206,260,227,66,285
5316,4170,3036,40,86,240,299,801,0,112
5317,7059,4027,56,16,270,317,1529,50,171
5318,670,3290,31,91,432,276,965,27,276
5319,1120,3171,56,57,414,0,893,50,0
5320,5742,2349,45,124,150,240,1643,66,178
5321,1886,2383,39,46,229,154,881,0,158
5322,4107,1608,56,158,407,108,177,28,111
5323,866,981,72,6,270,249,893,50,248
5324,2972,1516,39,20,233,39,24,55,42
5325,7355,1467,37,95,391,169,1196,24,172
5326,1384,1717,56,43,364,249,893,50,248
5327,5941,3298,67,85,240,154,798,0,158
5328,1507,14,83,113,240,299,1122,0,112
5329,6956,3549,56,43,228,0,1189,50,0
5330,5747,1742,13,60,240,299,886,0,112
5331,2619,2622,56,142,157,308,114,48,250
5332,4630,1883,56,158,348,329,1477,18,328
5333,6642,432,56,5,6,34,323,39,38
5334,1440,3862,101,141,241,151,941,24,29
5335,1876,710,56,99,25,164,1307,26,166
5336,2122,3249,56,57,426,325,960,21,324
5337,284,2222,56,72,48,266,2090,65,265
5338,7094,3618,56,5,173,144,2158,56,149
5339,6277,3938,56,70,350,281,78,31,281
5340,3584,3786,56,70,99,238,1021,50,237
5341,1676,3844,56,158,408,247,1307,26,246
5342,1676,1043,56,16,270,249,893,50,248
5343,1440,888,101,141,241,37,638,24,49
5344,3957,1603,71,103,183,54,2177,1,56
5345,5723,294,35,39,216,154,879,0,158
5346,5311,1758,61,78,216,154,798,0,158
5347,5710,3948,56,142,423,0,2066,50,0
5348,786,2413,56,5,307,162,893,50,165
5349,7299,1708,56,142,376,249,1193,50,248
5350,6891,1823,121,96,268,298,2281,9,300
5351,5522,1256,56,43,409,329,1227,18,328
5352,4308,2829,56,70,31,194,1057,66,198
5353,6013,1317,56,72,48,266,1241,65,265
5354,7403,2157,61,78,216,299,1586,0,112
5355,6118,738,3,2,413,5,118,4,6
5356,1686,3800,100,137,292,218,1602,57,219
5357,3035,1320,56,57,356,341,274,21,341
5358,1777,3168,31,91,263,276,965,27,276
5359,2803,2400,71,103,56,162,893,50,165
5360,800,2147,13,60,233,156,895,66,113
5361,248,1697,56,16,168,162,893,50,165
5362,5208,2489,71,10,407,329,1227,18,328
5363,6479,3016,32,138,104,169,800,24,172
5364,5048,4177,100,137,425,214,991,5,216
5365,953,1985,56,142,197,308,188,48,250
5366,4912,4047,101,141,205,283,1507,24,286
5367,5745,994,29,74,219,156,895,66,113
5368,7036,2918,56,70,31,341,274,21,341
5369,120,3961,71,103,268,189,940,9,193
5370,4040,2501,85,115,259,299,771,0,112
5371,2964,3884,121,166,241,37,638,24,49
5372,4218,1039,56,99,20,162,893,50,165
5373,4653,1557,80,110,330,269,1874,4,268
5374,561,3879,94,128,216,154,995,0,158
5375,5306,2891,56,5,413,270,488,4,270
5376,7289,3618,56,5,173,144,2158,56,149
5377,2454,2058,56,142,419,20,1780,4,24
5378,5873,3655,56,5,448,0,271,50,0
5379,4913,1411,56,163,151,36,1196,24,40
5380,7416,1101,112,152,348,325,274,21,324
5381,1647,1543,56,142,430,249,1081,50,248
5382,373,20,56,5,448,249,893,50,248
5383,5311,2593,56,5,337,144,360,56,149
5384,4911,1551,56,142,430,162,1474,50,165
5385,3876,2104,56,142,15,276,409,27,276
5386,562,686,56,16,284,194,1031,66,198
5387,6531,2192,56,5,250,308,187,48,250
5388,4403,1803,56,99,20,308,114,48,250
5389,6199,2098,56,142,276,91,726,4,93
5390,1120,3630,56,5,337,194,1095,66,198
5391,6219,2656,56,5,359,173,2273,4,176
5392,1021,2007,75,102,205,283,1312,24,286
5393,4517,3378,56,142,15,249,809,50,248
5394,5767,701,56,5,273,24,232,20,28
5395,535,899,56,5,311,1,1637,4,1
5396,749,1327,31,91,410,49,2306,5,52
5397,4077,3114,56,16,313,316,958,20,316
5398,464,782,56,43,228,325,1615,21,324
5399,4009,3880,56,142,297,240,1095,66,178
5400,2223,3210,83,113,240,299,1122,0,112
5401,5941,704,58,75,219,299,1502,0,112
5402,1120,3656,71,103,383,162,893,50,165
5403,2617,2005,56,158,348,249,893,50,248
5404,7456,2792,3,2,275,166,2025,33,168
5405,2517,1572,56,142,430,162,1193,50,165
5406,5747,305,13,60,240,156,895,66,113
5407,2454,1300,102,140,240,154,798,0,158
5408,2454,1599,56,99,267,84,1936,45,87
5409,3708,539,56,5,210,217,2087,27,218
5410,1676,577,56,43,228,162,893,50,165
5411,5761,1008,102,140,233,299,315,0,112
5412,6549,141,56,158,348,249,893,50,248
5413,6679,96,56,16,374,325,274,21,324
5414,4159,1226,32,64,341,150,1468,44,155
5415,1687,2378,31,91,296,164,1307,26,166
5416,6534,1168,80,110,330,242,765,4,241
5417,6287,2861,56,16,345,249,893,50,248
5418,2031,2964,9,65,360,341,1795,21,341
5419,5742,612,45,52,219,156,895,66,113
5420,4987,2811,56,33,321,244,546,4,243
5421,5768,2077,56,70,357,57,1172,3,60
5422,4431,1762,56,70,335,249,893,50,248
5423,2522,723,56,5,376,162,893,50,165
5424,2073,51,9,65,349,249,893,50,248
5425,708,198,74,101,167,241,1030,8,240
5426,2051,373,56,5,136,330,1914,8,329
5427,3951,2023,56,158,215,249,893,50,248
5428,2090,1857,56,5,338,341,274,21,341
5429,6692,697,56,158,258,326,2132,19,325
5430,6118,2640,80,110,330,5,161,4,6
5431,113,1794,56,16,37,0,893,50,0
5432,6882,957,56,57,230,194,1095,66,198
5433,6775,4230,56,16,417,316,300,20,316
5434,248,823,56,142,423,0,893,50,0
5435,4347,3917,56,142,399,162,1193,50,165
5436,3957,3985,56,5,90,341,274,21,341
5437,4170,2181,117,156,240,299,1122,0,112
5438,2256,2360,56,99,186,162,893,50,165
5439,5661,1050,46,54,240,154,881,0,158
5440,6210,1445,3,2,445,266,1484,65,265
5441,2020,4127,56,99,368,162,893,50,165
5442,7456,1990,56,142,346,17,633,65,20
5443,6882,1270,56,33,202,0,435,50,0
5444,5612,1139,56,72,248,67,2203,58,295
5445,1033,702,56,70,165,260,1057,66,285
5446,1474,134,56,158,348,249,893,50,248
5447,2837,1657,56,5,330,339,1336,23,339
5448,3972,1077,56,5,90,249,893,50,248
5449,1607,3919,56,158,372,249,893,50,248
5450,5311,2586,56,142,276,102,726,4,105
5451,5684,468,56,5,346,31,2090,65,156
5452,6191,1859,37,95,268,189,940,9,193
5453,1450,3841,56,16,37,325,2164,21,324
5454,2142,3857,56,33,440,276,888,27,276
5455,2124,2279,56,43,265,341,1510,21,341
5456,201,3210,83,113,240,299,644,0,112
5457,4783,2236,56,5,311,233,458,4,78
5458,2813,4058,40,86,219,154,881,0,158
5459,3957,1063,56,43,265,325,1270,21,324
5460,7451,1702,56,16,182,249,893,50,248
5461,4916,3885,56,99,317,320,1454,24,319
5462,109,2557,56,142,276,274,563,4,274
5463,6227,4079,56,43,55,303,2203,58,304
5464,3358,542,83,113,259,299,1122,0,112
5465,3193,3146,31,91,138,26,78,31,31
5466,6568,2444,56,72,248,17,1378,65,20
5467,5741,3055,13,174,240,156,895,66,113
5468,953,794,56,5,423,0,2260,50,0
5469,3696,2925,84,114,144,19,1810,27,23
5470,6695,1805,56,16,198,249,893,50,248
5471,421,3472,37,44,302,13,878,65,15
5472,4911,3760,56,142,297,161,63,50,164
5473,5197,2228,56,5,413,115,1384,19,186
5474,2628,387,56,142,175,249,893,50,248
5475,1687,676,56,99,263,194,1414,66,198
5476,5155,2564,56,158,314,312,1602,57,143
5477,5941,935,56,5,62,144,2295,56,149
5478,2971,1001,56,70,99,121,1139,20,127
5479,386,892,56,158,74,48,509,22,51
5480,472,3948,56,142,423,162,893,50,165
5481,3987,3142,56,142,237,31,2090,65,156
5482,4230,3934,56,99,20,162,893,50,165
5483,1980,2801,3,2,419,242,1135,4,241
5484,6534,3378,56,142,15,249,893,50,248
5485,2196,2400,71,103,56,240,893,66,178
5486,5747,1755,13,174,219,156,895,66,113
5487,5947,4180,63,121,389,194,512,66,198
5488,5326,1980,10,13,368,249,893,50,248
5489,248,800,56,99,238,162,893,50,165
5490,4693,1697,56,16,36,249,893,50,248
5491,5584,997,56,16,345,162,1193,50,165
5492,6743,2629,56,99,412,308,2225,48,250
5493,107,413,56,142,423,0,893,50,0
5494,7103,3558,56,5,237,305,44,65,306
5495,248,3683,56,142,376,194,419,66,198
5496,1265,2883,56,99,8,249,893,50,248
5497,308,1129,56,70,165,27,1341,18,32
5498,6476,1432,7,7,292,187,906,25,191
5499,902,1528,0,27,171,176,1503,5,104
5500,1676,3028,56,33,427,0,893,50,0
5501,5282,1026,56,16,374,162,893,50,165
5502,187,1153,56,5,90,317,1727,50,171
5503,5254,3278,56,142,423,0,1924,50,0
5504,7456,2070,56,142,376,162,893,50,165
5505,3117,16,5,4,413,249,780,50,248
5506,109,1069,56,5,319,173,1520,4,176
5507,6771,1395,121,96,442,236,543,24,235
5508,1033,1634,56,70,31,249,893,50,248
5509,6294,3814,56,158,407,26,52,31,31
5510,6366,540,57,71,56,308,114,48,250
5511,2837,521,56,142,376,162,893,50,165
5512,3323,3620,56,16,168,168,1627,12,170
5513,6504,3449,56,70,335,0,893,50,0
5514,201,3413,124,68,222,154,1433,0,158
5515,1687,4020,56,99,271,315,2048,56,315
5516,2866,2098,56,142,157,270,488,4,270
5517,3983,3982,75,102,241,37,904,24,49
5518,953,1992,56,142,346,17,633,65,20
5519,1137,3783,31,91,296,249,893,50,248
5520,248,1759,56,70,99,240,1662,66,178
5521,4940,2918,56,70,31,325,1943,21,324
5522,1749,2909,37,44,165,162,893,50,165
5523,4034,1013,76,136,222,160,889,0,163
5524,4664,646,56,57,70,317,1529,50,171
5525,3192,241,56,99,345,329,1227,18,328
5526,6358,3672,108,147,308,288,1770,7,293
5527,2522,3923,56,142,376,252,462,50,252
5528,1187,1156,46,54,233,299,641,0,112
5529,415,2070,56,142,376,0,1189,50,0
5530,5723,64,40,86,240,156,895,66,113
5531,2802,3421,56,99,102,194,1750,66,198
5532,6370,157,56,142,157,269,1505,4,268
5533,204,1631,56,5,311,1,415,4,1
5534,3749,2115,56,72,48,17,44,65,20
5535,5465,4181,56,57,238,247,1307,26,246
5536,302,2217,56,142,239,308,114,48,250
5537,7456,1772,44,51,83,51,536,34,54
5538,5394,3455,56,142,332,321,1761,56,322
5539,248,2153,56,99,56,249,893,50,248
5540,4912,3385,71,103,89,138,609,0,140
5541,6458,1022,56,158,121,82,2085,19,85
5542,53,896,56,158,74,194,1414,66,198
5543,3830,1575,22,30,375,33,1920,8,37
5544,5770,1644,56,5,311,144,65,56,149
5545,1909,1836,121,96,268,189,939,9,193
5546,6491,1191,64,82,216,57,1229,3,60
5547,5311,3730,56,158,444,315,2158,56,315
5548,198,2467,104,163,369,276,795,27,276
5549,2292,3721,101,141,241,236,1785,24,235
5550,2298,4156,72,138,270,278,1624,53,278
5551,562,409,127,176,377,189,1175,9,193
5552,6534,3270,56,142,84,325,235,21,324
5553,5088,2024,56,43,327,0,49,50,0
5554,2456,2597,56,142,276,91,726,4,93
5555,4597,1270,56,33,202,0,435,50,0
5556,3053,2392,85,115,259,299,1122,0,112
5557,3200,44,56,16,37,249,893,50,248
5558,4781,2788,56,16,341,19,1810,27,23
5559,2173,2192,56,5,250,308,187,48,250
5560,4664,2114,56,57,70,0,893,50,0
5561,911,2082,56,142,231,276,2087,27,276
5562,6534,4110,56,16,284,305,956,65,306
5563,2073,2047,9,65,385,56,457,29,58
5564,2073,1119,9,11,379,144,1284,56,149
5565,6191,2656,56,5,359,242,2273,4,241
5566,5552,2347,56,16,118,249,893,50,248
5567,3797,2791,74,101,321,175,146,4,188
5568,1200,1758,61,78,216,154,798,0,158
5569,3438,3176,121,166,441,37,638,24,49
5570,5343,3940,56,5,93,162,893,50,165
5571,6887,2875,56,16,373,17,2076,65,20
5572,442,2848,56,142,207,249,893,50,248
5573,3484,3434,58,75,153,149,1500,3,154
5574,1427,3042,56,57,181,211,1688,53,213
5575,2269,3423,7,61,308,105,1328,40,108
5576,7294,2768,56,5,260,315,2158,56,315
5577,2269,378,56,16,270,294,553,21,296
5578,1719,3652,56,5,90,162,893,50,165
5579,617,2304,56,142,376,162,893,50,165
5580,6123,1385,56,5,338,0,1193,50,0
5581,6191,3258,121,96,268,189,1043,9,193
5582,2543,788,9,65,379,308,2225,48,250
5583,841,2971,56,142,157,325,1,21,324
5584,5972,3494,50,59,216,160,889,0,163
5585,6534,2461,87,119,240,154,2351,0,158
5586,4913,1407,123,170,205,283,1507,24,286
5587,1851,2779,56,142,157,91,726,4,93
5588,6749,2391,56,5,376,164,1307,26,166
5589,4261,2820,56,16,345,162,893,50,165
5590,4874,827,56,142,423,317,1726,50,171
5591,2178,2380,56,142,430,162,893,50,165
5592,2052,1264,56,158,407,325,1615,21,324
5593,4072,3020,56,33,349,325,1615,21,324
5594,483,1794,56,16,37,0,893,50,0
5595,509,1124,103,97,233,299,19,0,112
5596,39,2576,56,5,279,214,563,5,216
5597,2543,1270,56,33,202,162,893,50,165
5598,2269,3084,56,16,164,166,1617,33,168
5599,4732,218,56,158,293,249,893,50,248
5600,520,4074,56,16,377,192,2145,9,196
5601,557,3678,56,33,188,249,893,50,248
5602,6534,855,45,52,219,156,895,66,113
5603,7188,1802,56,33,379,294,1108,21,296
5604,3671,2362,56,99,25,249,1193,50,248
5605,723,2104,56,142,15,249,893,50,248
5606,6797,853,56,70,11,316,919,20,316
5607,711,2358,56,43,265,231,893,50,231
5608,6418,4074,56,16,377,222,645,9,222
5609,5977,1761,56,142,175,0,2260,50,0
5610,6089,1385,56,5,338,162,893,50,165
5611,1216,2769,74,101,123,334,1792,4,334
5612,3273,375,56,16,308,45,2044,40,47
5613,5846,845,56,16,422,4,2327,39,5
5614,2009,1708,56,142,376,249,893,50,248
5615,6887,1946,56,99,271,222,679,9,222
5616,3994,3589,97,133,416,99,1221,2,101
5617,2928,3916,31,91,296,0,435,50,0
5618,3155,808,94,128,216,154,397,0,158
5619,3969,4210,31,91,440,162,893,50,165
5620,68,5,56,99,317,192,679,9,196
5621,2008,3034,10,13,368,316,919,20,316
5622,5993,1094,74,101,283,330,562,8,329
5623,953,750,56,158,293,0,2258,50,0
5624,5251,4051,56,57,312,259,1342,43,259
5625,3429,413,56,142,355,249,893,50,248
5626,3927,2470,56,99,334,175,794,4,188
5627,7055,3682,56,158,254,48,147,22,51
5628,6392,3745,56,158,74,194,1414,66,198
5629,4714,468,56,5,346,31,2090,65,156
5630,3131,1098,41,48,233,299,847,0,112
5631,2543,1913,56,33,96,0,2066,50,0
5632,4916,2528,56,158,314,295,1332,22,297
5633,4040,2068,27,35,216,154,879,0,158
5634,5305,3917,56,142,399,0,893,50,0
5635,2944,1567,5,4,413,249,780,50,248
5636,6065,3073,56,158,200,326,259,19,325
5637,4025,310,56,99,12,162,893,50,165
5638,3927,2811,56,33,321,244,546,4,243
5639,7115,2079,12,15,341,143,1538,44,148
5640,6381,1400,56,33,198,162,893,50,165
5641,1149,3948,56,142,423,0,2066,50,0
5642,3688,2157,61,78,216,154,879,0,158
5643,4893,96,56,16,374,215,529,20,65
5644,6581,1883,56,158,348,329,1477,18,328
5645,19,933,56,72,422,34,79,39,38
5646,5461,431,56,5,423,0,1528,50,0
5647,3727,4222,102,140,259,156,881,66,113
5648,7240,2842,56,158,320,144,2158,56,149
5649,1441,3033,101,141,205,236,2178,24,235
5650,3533,305,13,60,233,299,385,0,112
5651,6087,2584,56,5,359,308,1819,48,250
5652,3656,499,56,5,402,5,929,4,6
5653,6461,3649,56,158,257,341,274,21,341
5654,1440,996,56,163,151,37,638,24,49
5655,5304,943,31,91,178,162,893,50,165
5656,7375,3496,45,52,150,72,1822,39,76
5657,4275,1256,56,43,212,27,1227,18,32
5658,3548,3669,31,91,440,164,1307,26,166
5659,7114,94,56,16,374,301,384,20,302
5660,1120,307,56,70,370,0,435,50,0
5661,4550,3687,71,103,163,186,2018,66,190
5662,5684,1721,56,70,0,266,1793,65,265
5663,2543,1931,9,65,57,162,2111,50,165
5664,6951,617,78,132,222,159,895,66,162
5665,6882,2778,7,61,410,199,1956,4,179
5666,7294,3273,7,7,337,341,274,21,341
5667,3410,3975,56,99,186,249,893,50,248
5668,17,1129,56,70,165,117,1282,50,123
5669,1422,3793,101,141,241,37,2319,24,49
5670,7198,379,56,16,313,317,1726,50,171
5671,5042,2986,56,142,197,144,2012,56,149
5672,1851,2662,56,70,0,166,120,33,168
5673,6335,770,94,128,216,154,397,0,158
5674,1247,419,112,160,74,144,316,56,149
5675,2827,1129,56,70,0,260,1940,66,285
5676,1676,2289,56,5,90,0,893,50,0
5677,5397,976,56,163,151,36,2239,24,40
5678,5717,2929,101,141,241,36,1314,24,40
5679,3961,2148,5,4,73,269,445,4,268
5680,5803,3077,115,155,233,200,685,14,202
5681,856,627,112,152,335,249,893,50,248
5682,4170,668,67,85,259,154,798,0,158
5683,5770,1215,56,99,340,326,610,19,325
5684,6739,1965,56,70,99,335,919,20,335
5685,6235,3045,56,57,426,21,1830,1,25
5686,1529,1943,9,65,57,0,2111,50,0
5687,983,3916,31,91,296,0,435,50,0
5688,924,381,71,103,373,25,1818,65,30
5689,1205,2621,3,2,69,98,500,66,100
5690,3685,2313,66,84,216,160,2037,0,163
5691,4322,3823,56,5,65,194,1095,66,198
5692,6534,1958,56,57,326,144,4,56,149
5693,1175,4066,60,77,219,156,895,66,113
5694,1120,4027,56,16,270,0,1547,50,0
5695,105,1129,56,70,31,329,1341,18,328
5696,5300,474,56,142,51,5,689,4,6
5697,6221,1380,37,44,284,25,1431,65,30
5698,5770,2698,56,5,206,274,1390,4,274
5699,480,1975,56,5,260,315,752,56,315
5700,5085,3952,56,158,293,249,1193,50,248
5701,4273,1990,56,142,67,17,633,65,20
5702,5982,1068,56,142,376,325,1615,21,324
5703,7030,1137,56,99,328,194,1095,66,198
5704,1687,3531,31,91,317,128,1619,5,224
5705,5661,3567,60,107,229,156,895,66,113
5706,1696,2999,121,96,41,37,638,24,49
5707,4649,576,56,16,37,207,2285,28,181
5708,6065,1070,37,44,213,164,1307,26,166
5709,7416,1077,56,5,90,249,893,50,248
5710,1335,3566,35,39,216,156,947,66,113
5711,1705,3557,56,158,366,17,633,65,20
5712,2106,1736,110,151,229,154,881,0,158
5713,6534,3115,110,151,233,299,1371,0,112
5714,7248,14,83,113,240,299,1122,0,112
5715,4311,1256,56,43,212,341,274,21,341
5716,4040,895,81,111,233,299,2192,0,112
5717,5941,2461,87,119,240,299,1797,0,112
5718,3716,892,56,158,74,48,509,22,51
5719,3478,4230,56,16,417,10,703,20,12
5720,4911,3851,76,105,397,37,2242,24,49
5721,6191,2599,56,142,157,242,2273,4,241
5722,1329,4096,35,39,216,154,879,0,158
5723,6799,2073,56,70,335,341,274,21,341
5724,3308,171,56,16,270,162,893,50,165
5725,3052,2289,56,5,90,249,893,50,248
5726,435,2633,3,2,203,242,656,4,241
5727,5941,2754,27,35,216,299,2248,0,112
5728,1676,4195,56,142,84,0,1982,50,0
5729,1479,3934,56,99,20,249,893,50,248
5730,6363,2085,56,5,359,194,1095,66,198
5731,6249,2407,81,111,240,156,895,66,113
5732,7035,2340,56,99,410,162,1193,50,165
5733,4911,982,101,141,205,37,1507,24,49
5734,3744,701,56,5,273,24,232,20,28
5735,2855,3622,56,99,129,325,274,21,324
5736,5308,3837,56,57,262,17,44,65,20
5737,7456,1874,56,99,321,175,1444,4,188
5738,953,3820,56,5,346,31,2090,65,156
5739,6518,3114,56,16,313,249,893,50,248
5740,6249,3231,81,111,219,156,895,66,113
5741,2472,3854,56,70,335,249,893,50,248
5742,1205,16,56,5,436,77,518,23,81
5743,6227,1844,56,158,314,48,2022,22,51
5744,6534,4167,114,154,268,189,939,9,193
5745,3626,4164,56,33,440,162,893,50,165
5746,1671,3576,29,74,219,154,881,0,158
5747,557,2963,18,24,327,162,893,50,165
5748,4740,899,56,5,311,1,1652,4,1
5749,610,2030,56,99,269,162,893,50,165
5750,3154,3877,94,128,216,154,995,0,158
5751,2837,4171,71,103,376,162,936,50,165
5752,1179,3404,83,113,240,160,889,0,163
5753,893,1521,7,7,355,315,274,56,315
5754,5040,2541,56,158,348,249,893,50,248
5755,6271,805,37,44,90,276,2087,27,276
5756,2454,934,56,72,48,305,2011,65,306
5757,1824,4234,56,16,373,17,2076,65,20
5758,5311,440,121,96,442,169,364,24,172
5759,5105,3682,56,158,314,48,1659,22,51
5760,5300,2479,56,142,355,290,920,48,69
5761,543,3378,56,142,15,162,893,50,165
5762,1107,749,112,152,348,162,854,50,165
5763,2371,1950,124,68,222,299,459,0,112
5764,7452,3996,56,16,37,249,1193,50,248
5765,2170,3767,56,70,335,162,893,50,165
5766,5069,3558,56,5,237,305,44,65,306
5767,2454,1465,56,5,173,33,1914,8,37
5768,310,2375,56,33,440,162,893,50,165
5769,1809,1608,56,158,407,316,919,20,316
5770,1804,848,71,103,357,73,381,3,77
5771,3041,3217,56,142,157,155,986,48,159
5772,3457,1231,56,99,412,244,20,4,243
5773,1809,961,56,33,379,249,893,50,248
5774,5725,1748,115,106,13,240,1588,66,178
5775,64,1380,37,44,284,25,36,65,30
